ID,TITULO,ARTISTA,GENERO,ANO
2,Love The Way You Lie,Eminem,Detroit Hip Hop,2010
3,TiK ToK,Kesha,Dance Pop,2010
4,Bad Romance,Lady Gaga,Dance Pop,2010
5,Just the Way You Are,Bruno Mars,Pop,2010
6,Baby,Justin Bieber,Canadian Pop,2010
7,Dynamite,Taio Cruz,Dance Pop,2010
8,Secrets,OneRepublic,Dance Pop,2010
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,Hip Pop,2010
10,Only Girl (In The World),Rihanna,Barbadian Pop,2010
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,Dance Pop,2010
12,Marry You,Bruno Mars,Pop,2010
13,Cooler Than Me - Single Mix,Mike Posner,Dance Pop,2010
14,Telephone,Lady Gaga,Dance Pop,2010
15,Like A G6,Far East Movement,Dance Pop,2010
16,OMG (feat. will.i.am),Usher,Atl Hip Hop,2010
17,Eenie Meenie,Sean Kingston,Dance Pop,2010
18,The Time (Dirty Bit),The Black Eyed Peas,Dance Pop,2010
19,Alejandro,Lady Gaga,Dance Pop,2010
20,Your Love Is My Drug,Kesha,Dance Pop,2010
21,Meet Me Halfway,The Black Eyed Peas,Dance Pop,2010
22,Whataya Want from Me,Adam Lambert,Australian Pop,2010
23,Take It Off,Kesha,Dance Pop,2010
24,Misery,Maroon 5,Pop,2010
25,All The Right Moves,OneRepublic,Dance Pop,2010
26,Animal,Neon Trees,Indie Pop,2010
27,Naturally,Selena Gomez & The Scene,Dance Pop,2010
28,I Like It,Enrique Iglesias,Dance Pop,2010
29,Teenage Dream,Katy Perry,Dance Pop,2010
30,California Gurls,Katy Perry,Dance Pop,2010
31,3,Britney Spears,Dance Pop,2010
32,My First Kiss - feat. Ke$ha,3OH!3,Dance Pop,2010
33,Blah Blah Blah (feat. 3OH!3),Kesha,Dance Pop,2010
34,Imma Be,The Black Eyed Peas,Dance Pop,2010
35,Try Sleeping with a Broken Heart,Alicia Keys,Hip Pop,2010
36,Sexy Bitch (feat. Akon),David Guetta,Dance Pop,2010
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance Pop,2010
38,If I Had You,Adam Lambert,Australian Pop,2010
39,Rock That Body,The Black Eyed Peas,Dance Pop,2010
40,Dog Days Are Over,Florence + The Machine,Art Pop,2010
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Dance Pop,2010
42,Doesn't Mean Anything,Alicia Keys,Hip Pop,2010
43,Hard,Rihanna,Barbadian Pop,2010
